# Time-averaged data for fix aveRg
# TimeStep Number-of-rows
# Row c_Rg
5010000 50
1 5.65955
2 8.9233
3 10.287
4 9.64017
5 9.57429
6 9.79951
7 8.15658
8 6.27727
9 7.03796
10 6.70642
11 10.2582
12 7.64528
13 6.48178
14 10.5781
15 8.30889
16 10.5859
17 6.74381
18 9.08625
19 10.819
20 10.1062
21 8.18785
22 11.0421
23 9.7478
24 10.507
25 5.83681
26 12.1335
27 10.2333
28 10.4804
29 10.7725
30 9.93047
31 9.65138
32 8.26981
33 8.76085
34 9.49827
35 8.77828
36 9.10849
37 8.45373
38 10.2418
39 5.91517
40 9.88816
41 8.63594
42 8.39253
43 8.30691
44 9.37718
45 5.6139
46 10.5549
47 6.93207
48 8.03865
49 6.9477
50 9.93133
5020000 50
1 5.72688
2 8.69553
3 9.30669
4 10.1439
5 9.92513
6 8.80869
7 8.2962
8 6.42642
9 7.21595
10 6.64585
11 9.51406
12 8.2045
13 6.69008
14 10.7395
15 8.12999
16 10.1695
17 7.47787
18 9.11843
19 11.1759
20 10.1628
21 8.8455
22 11.1411
23 10.5138
24 10.4076
25 5.67518
26 11.4667
27 9.784
28 10.3476
29 10.6272
30 10.2923
31 9.38197
32 8.83968
33 8.22223
34 9.53159
35 8.96751
36 8.69949
37 8.56581
38 9.97196
39 5.8949
40 10.3631
41 7.64455
42 9.47823
43 10.0758
44 9.28124
45 5.72926
46 10.6265
47 6.95625
48 8.77015
49 7.13538
50 9.54228
5030000 50
1 5.70088
2 8.64958
3 8.95902
4 10.7173
5 9.8772
6 9.07843
7 8.04019
8 6.5946
9 6.45147
10 6.23725
11 9.21799
12 8.01893
13 6.5291
14 9.79206
15 8.44193
16 9.7252
17 7.81432
18 8.74149
19 10.4971
20 9.53679
21 9.29421
22 10.6112
23 9.68018
24 10.6384
25 5.6749
26 11.36
27 9.39261
28 10.5778
29 10.2161
30 9.39107
31 8.88898
32 8.217
33 8.00442
34 9.06395
35 8.54491
36 7.48392
37 9.33223
38 10.0411
39 5.89645
40 9.65805
41 7.26467
42 9.24909
43 9.18579
44 8.63656
45 6.15859
46 10.453
47 6.60798
48 8.74388
49 7.7002
50 9.37701
5040000 50
1 5.99361
2 8.1364
3 8.57191
4 11.1589
5 9.47375
6 9.27122
7 8.27041
8 6.69386
9 6.34279
